results_df_name,model_name,metric_category,condition,metric,value
model,model,certain_vs_uncertain,Edema,TN,1590.0
model,model,certain_vs_uncertain,Edema,TPR,0.48609454624308795
model,model,certain_vs_uncertain,Edema,FPR,0.35861234368697054
model,model,certain_vs_uncertain,Edema,FNR,0.5139054537569121
model,model,certain_vs_uncertain,Edema,TNR,0.6413876563130294
model,model,certain_vs_uncertain,Edema,Precision,0.9527705466716251
model,model,certain_vs_uncertain,Edema,Recall,0.4861084758626298
model,model,certain_vs_uncertain,Edema,BER,0.43625889872194135
model,model,certain_vs_uncertain,Edema,F1 Score,0.6437648072367004
model,model,certain_vs_uncertain,Atelectasis,TP,22490.0
model,model,certain_vs_uncertain,Atelectasis,FP,4547.0
model,model,certain_vs_uncertain,Atelectasis,FN,9889.0
model,model,certain_vs_uncertain,Atelectasis,TN,2445.0
model,model,certain_vs_uncertain,Atelectasis,TPR,0.6945859970968837
model,model,certain_vs_uncertain,Atelectasis,FPR,0.6503146453089245
model,model,certain_vs_uncertain,Atelectasis,FNR,0.3054140029031162
model,model,certain_vs_uncertain,Atelectasis,TNR,0.34968535469107553
model,model,certain_vs_uncertain,Atelectasis,Precision,0.8318292773134107
model,model,certain_vs_uncertain,Atelectasis,Recall,0.6945954292773316
model,model,certain_vs_uncertain,Atelectasis,BER,0.4778643241060203
model,model,certain_vs_uncertain,Atelectasis,F1 Score,0.7570433202059981
model,model,certain_vs_uncertain,Pleural Effusion,TP,35483.0
model,model,certain_vs_uncertain,Pleural Effusion,FP,1160.0
model,model,certain_vs_uncertain,Pleural Effusion,FN,2641.0
model,model,certain_vs_uncertain,Pleural Effusion,TN,87.0
model,model,certain_vs_uncertain,Pleural Effusion,TPR,0.9307260518308677
model,model,certain_vs_uncertain,Pleural Effusion,FPR,0.9302325581395349
model,model,certain_vs_uncertain,Pleural Effusion,FNR,0.06927394816913231
model,model,certain_vs_uncertain,Pleural Effusion,TNR,0.06976744186046512
model,model,certain_vs_uncertain,Pleural Effusion,Precision,0.9683440672415675
model,model,certain_vs_uncertain,Pleural Effusion,Recall,0.9307278688524591
model,model,certain_vs_uncertain,Pleural Effusion,BER,0.4997532531543336
model,model,certain_vs_uncertain,Pleural Effusion,F1 Score,0.9491634233438992
