results_df_name,model_name,metric_category,condition,metric
test_results,resnet_base224,certain_vs_uncertain,Edema,TPR
test_results,resnet_base224,certain_vs_uncertain,Edema,FPR
test_results,resnet_base224,certain_vs_uncertain,Edema,FNR
test_results,resnet_base224,certain_vs_uncertain,Edema,TNR
test_results,resnet_base224,certain_vs_uncertain,Edema,Precision
test_results,resnet_base224,certain_vs_uncertain,Edema,Recall
test_results,resnet_base224,certain_vs_uncertain,Edema,BER
test_results,resnet_base224,certain_vs_uncertain,Edema,F1 Score
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,TP
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,FP
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,FN
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,TN
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,TPR
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,FPR
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,FNR
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,TNR
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,Precision
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,Recall
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,BER
test_results,resnet_base224,certain_vs_uncertain,Atelectasis,F1 Score
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,TP
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,FP
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,FN
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,TN
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,TPR
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,FPR
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,FNR
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,TNR
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,Precision
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,Recall
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,BER
test_results,resnet_base224,certain_vs_uncertain,Pleural Effusion,F1 Score
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,TP
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,FP
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,FN
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,TN
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,TPR
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,FPR
